PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
544 93 25-07;4647569;15.12.2020;210;VEVHUS;3,00;ST;26,32;78,96;US;1,79;;84679100
544 96 85-01;4647569;15.12.2020;211;THROTTLE CONTROL;5,00;ST;1,58;7,90;US;0,06;;84679100
544 97 20-01;4647569;15.12.2020;212;GASKET KIT;5,00;ST;3,16;15,80;SE;0,03;;40169300
545 03 38-01;4647569;15.12.2020;213;ASS Y FRONT ISOLATOR;10,00;ST;2,09;20,90;US;0,14;;73202085
545 03 39-01;4647569;15.12.2020;214;SPRING CYLINDER ASSY;10,00;ST;2,87;28,70;US;0,23;;73202085
545 03 68-01;4647569;15.12.2020;215;OIL PUMP;50,00;ST;4,50;225,00;CN;1,25;;84133080
545 03 85-01;4647569;15.12.2020;216;FILTER;100,00;ST;1,28;128,00;US;1,40;;84212300
545 06 18-01;4647569;15.12.2020;217;AIR FILTER;100,00;ST;0,46;46,00;CN;0,30;;84213100
545 07 14-01;4647569;15.12.2020;218;PLATE BAR MOUNTING;5,00;ST;2,06;10,30;US;0,06;;84679100
545 11 21-01;4647569;15.12.2020;219;FILTER, AIR;10,00;ST;1,19;11,90;TW;0,10;;84213100
545 13 74-01;4647569;15.12.2020;220;BRAKE BAND;10,00;ST;2,19;21,90;US;0,21;;84679100
545 18 08-43;4647569;15.12.2020;221;KIT MUFFLER;2,00;ST;6,83;13,66;US;0,58;;84099100
573 97 76-01;4647569;15.12.2020;222;KIT GASKET GASKET;10,00;ST;2,26;22,60;US;0,20;;40169300
574 22 37-02;4647569;15.12.2020;223;AIR FILTER ASSY;20,00;ST;1,56;31,20;CN;0,12;;84213100
574 35 84-01;4647569;15.12.2020;224;SHAFT ASSY;3,00;ST;2,39;7,17;CN;0,02;;84831095
574 51 96-01;4647569;15.12.2020;225;SPARK PLUG;10,00;ST;1,29;12,90;JP;0,25;;85111000
574 71 88-01;4647569;15.12.2020;226;CLUTCH SPRING;10,00;ST;1,04;10,40;SE;0,04;;73202085
575 26 10-05;4647569;15.12.2020;227;"CLUTCH DRUM ASSY RIM .325""7T";5,00;ST;8,08;40,40;SE;0,53;;84679100
